true_position,measurement,position_prediction,velocity_prediction,acceleration_prediction,position_estimate,velocity_estimate,acceleration_estimate
42973.9,42973.9,42974.3,923.041,9.77118,42974.1,922.986,9.76207
43902.8,43902.8,43902,932.748,9.76207,43902.2,932.866,9.78173
44840.6,44840.6,44840,942.648,9.78173,44840.2,942.742,9.79739
45787.7,45787.7,45787.8,952.539,9.79739,45787.8,952.526,9.79524
46745.4,46745.4,46745.2,962.322,9.79524,46745.3,962.351,9.80012
47713.1,47713.1,47712.5,972.151,9.80012,47712.7,972.228,9.81288
48690.5,48690.5,48689.8,982.041,9.81288,48690,982.142,9.82979
49677.5,49677.5,49677.1,991.972,9.82979,49677.2,992.034,9.84015
50673.7,50673.7,50674.2,1001.87,9.84015,50674,1001.81,9.82867
51679.7,51679.7,51680.7,1011.63,9.82867,51680.4,1011.47,9.80149
52695.8,52695.8,52696.8,1021.27,9.80149,52696.5,1021.13,9.77773
53722,53722,53722.5,1030.91,9.77773,53722.4,1030.82,9.7636
54759.4,54759.4,54758.1,1040.59,9.7636,54758.5,1040.78,9.79641
55803.8,55803.8,55804.1,1050.58,9.79641,55804,1050.53,9.78734
56859.6,56859.6,56859.4,1060.31,9.78734,56859.5,1060.34,9.79206
57925.2,57925.2,57924.7,1070.13,9.79206,57924.9,1070.2,9.80382
